date,dominant
2008-04-21,M0809
2008-04-22,M0809
2008-04-23,M0809
2008-04-24,M0809
2008-04-25,M0809
2008-04-28,M0809
2008-04-29,M0809
2008-04-30,M0809
2008-05-05,M0809
2008-05-06,M0809
2008-05-07,M0809
2008-05-08,M0809
2008-05-09,M0809
2008-05-12,M0809
2008-05-13,M0809
2008-05-14,M0809
2008-05-15,M0809
2008-05-16,M0809
2008-05-19,M0809
2008-05-20,M0809
2008-05-21,M0809
2008-05-22,M0809
2008-05-23,M0809
2008-05-26,M0809
2008-05-27,M0809
2008-05-28,M0809
2008-05-29,M0809
2008-05-30,M0809
2008-06-02,M0809
2008-06-03,M0809
2008-06-04,M0809
2008-06-05,M0809
2008-06-06,M0809
2008-06-10,M0809
2008-06-11,M0809
2008-06-12,M0809
2008-06-13,M0809
2008-06-16,M0809
2008-06-17,M0809
2008-06-18,M0809
2008-06-19,M0809
2008-06-20,M0809
2008-06-23,M0809
2008-06-24,M0809
2008-06-25,M0809
2008-06-26,M0901
2008-06-27,M0901
2008-06-30,M0901
2008-07-01,M0901
2008-07-02,M0901
2008-07-03,M0901
2008-07-04,M0901
2008-07-07,M0901
2008-07-08,M0901
2008-07-09,M0901
2008-07-10,M0901
2008-07-11,M0901
2008-07-14,M0901
2008-07-15,M0901
2008-07-16,M0901
2008-07-17,M0901
2008-07-18,M0901
2008-07-21,M0901
2008-07-22,M0901
2008-07-23,M0901
2008-07-24,M0901
2008-07-25,M0901
2008-07-28,M0901
2008-07-29,M0901
2008-07-30,M0901
2008-07-31,M0901
2008-08-01,M0901
2008-08-04,M0901
2008-08-05,M0901
2008-08-06,M0901
2008-08-07,M0901
2008-08-08,M0901
2008-08-11,M0901
2008-08-12,M0901
2008-08-13,M0901
2008-08-14,M0901
2008-08-15,M0901
2008-08-18,M0901
2008-08-19,M0901
2008-08-20,M0901
2008-08-21,M0901
2008-08-22,M0901
2008-08-25,M0901
2008-08-26,M0901
2008-08-27,M0901
2008-08-28,M0901
2008-08-29,M0901
2008-09-01,M0901
2008-09-02,M0901
2008-09-03,M0901
2008-09-04,M0901
2008-09-05,M0901
2008-09-08,M0901
2008-09-09,M0901
2008-09-10,M0901
2008-09-11,M0901
2008-09-12,M0901
2008-09-16,M0901
2008-09-17,M0901
2008-09-18,M0901
2008-09-19,M0901
2008-09-22,M0901
2008-09-23,M0901
2008-09-24,M0901
2008-09-25,M0901
2008-09-26,M0901
2008-10-06,M0901
2008-10-07,M0901
2008-10-08,M0901
2008-10-09,M0901
2008-10-10,M0901
2008-10-13,M0901
2008-10-14,M0901
2008-10-15,M0901
2008-10-16,M0901
2008-10-17,M0901
2008-10-20,M0901
2008-10-21,M0901
2008-10-22,M0901
2008-10-23,M0901
2008-10-24,M0901
2008-10-27,M0901
2008-10-28,M0901
2008-10-29,M0901
2008-10-30,M0901
2008-10-31,M0901
2008-11-03,M0905
2008-11-04,M0905
2008-11-05,M0905
2008-11-06,M0905
2008-11-07,M0905
2008-11-10,M0905
2008-11-11,M0905
2008-11-12,M0905
2008-11-13,M0905
2008-11-14,M0905
2008-11-17,M0905
2008-11-18,M0905
2008-11-19,M0905
2008-11-20,M0905
2008-11-21,M0905
2008-11-24,M0905
2008-11-25,M0905
2008-11-26,M0905
2008-11-27,M0905
2008-11-28,M0905
2008-12-01,M0905
2008-12-02,M0905
2008-12-03,M0905
2008-12-04,M0905
2008-12-05,M0905
2008-12-08,M0905
2008-12-09,M0905
2008-12-10,M0905
2008-12-11,M0905
2008-12-12,M0905
2008-12-15,M0905
2008-12-16,M0905
2008-12-17,M0905
2008-12-18,M0905
2008-12-19,M0905
2008-12-22,M0905
2008-12-23,M0905
2008-12-24,M0905
2008-12-25,M0905
2008-12-26,M0905
2008-12-29,M0905
2008-12-30,M0905
2008-12-31,M0905
2009-01-05,M0905
2009-01-06,M0905
2009-01-07,M0905
2009-01-08,M0905
2009-01-09,M0905
2009-01-12,M0905
2009-01-13,M0905
2009-01-14,M0905
2009-01-15,M0905
2009-01-16,M0905
2009-01-19,M0905
2009-01-20,M0905
2009-01-21,M0905
2009-01-22,M0905
2009-01-23,M0905
2009-02-02,M0905
2009-02-03,M0905
2009-02-04,M0905
2009-02-05,M0905
2009-02-06,M0905
2009-02-09,M0905
2009-02-10,M0905
2009-02-11,M0905
2009-02-12,M0905
2009-02-13,M0905
2009-02-16,M0905
2009-02-17,M0905
2009-02-18,M0905
2009-02-19,M0905
2009-02-20,M0905
2009-02-23,M0905
2009-02-24,M0905
2009-02-25,M0909
2009-02-26,M0909
2009-02-27,M0909
2009-03-02,M0909
2009-03-03,M0909
2009-03-04,M0909
2009-03-05,M0909
2009-03-06,M0909
2009-03-09,M0909
2009-03-10,M0909
2009-03-11,M0909
2009-03-12,M0909
2009-03-13,M0909
2009-03-16,M0909
2009-03-17,M0909
2009-03-18,M0909
2009-03-19,M0909
2009-03-20,M0909
2009-03-23,M0909
2009-03-24,M0909
2009-03-25,M0909
2009-03-26,M0909
2009-03-27,M0909
2009-03-30,M0909
